Local,Categoria,P,Trocas,R,Disputa,Check-ins
Chicago Fire Station 18 51,Fire Station,0,0.0,0,0.0,0,
Chicago Cupcake,Food Truck,0,0.0,0,0.0,0,
Chicago Carry Out,Restaurant,0,0.0,0,0.0,36,
Cheesies Food Truck,Food Truck,0,0.0,0,0.0,2,
Challengers Comics,Comic Shop,0,0.0,0,0.0,99,
Cattails,Flower Shop,0,0.0,0,0.0,2,
Castaways Bar Grill,Bar,0,0.0,0,0.0,0,
Car Care Specialists Hand Car Wash Detailing,Car Wash,0,0.0,0,0.0,20,
Caffe Gelato,Bakery,0,0.0,0,0.0,1,
Caff%C3%A8 R%C5%8Dm,Coffee Shop,0,0.0,0,0.0,300,
Caf River Boat Cruise,Lake,0,0.0,0,0.0,0,
Burger King,Restaurant,0,0.0,0,0.0,149,
Bucktown Chiropractic,Chiropractor,0,0.0,0,0.0,0,
Brazzaz Brazilian Steakhouse,Restaurant,0,0.0,0,0.0,147,
Brazilian Bowl Grill,Restaurant,0,0.0,0,0.0,48,
Brasil Legal,Restaurant,0,0.0,0,0.0,0,
Body Works Health And Wellness,Doctor's Office,0,0.0,0,0.0,17,
Bockwinkels,Grocery Store,0,0.0,0,0.0,8,
Blumgarten,Flower Shop,0,0.0,0,0.0,6,
Bicycle Station Lofts,Residential Building (Apartment / Condo),0,0.0,0,0.0,36,
Between Kinzie And Hubbard On Orleans,Food Truck,0,0.0,0,0.0,0,
Best Buy,Electronics Store,0,0.0,0,0.0,72,
Berts Car Wash,Car Wash,0,0.0,0,0.0,33,
Bentley Gold Coast,Auto Dealership,0,0.0,0,0.0,32,
Becks Beer,Bar,0,0.0,0,0.0,0,
Barbour,Clothing Store,0,0.0,0,0.0,0,
Banana Republic,Clothing Store,0,0.0,0,0.0,37,
Avenue Crowne Plaza Chicago Magnificent Mile,Hotel,0,0.0,0,0.0,0,
Autozone,Automotive Shop,0,0.0,0,0.0,0,
Att,Mobile Phone Shop,0,0.0,0,0.0,10,
Atrium Food Court James R Thompson Center,Food Court,0,0.0,0,0.0,0,
Atrium Food Court,Food Court,0,0.0,0,0.0,1,
Arista Foods,Grocery Store,0,0.0,0,0.0,4,
Arbys,Restaurant,0,0.0,0,0.0,18,
Apple North Michigan Avenue,Electronics Store,0,0.0,0,0.0,0,
Apple Lincoln Park,Electronics Store,0,0.0,0,0.0,275,
Apostolic Church Of God,Church,0,0.0,0,0.0,84,
Anthonys Homemade Italian Ice,Ice Cream Shop,0,0.0,0,0.0,2,
Ann Robert H Lurie Childrens Hospital Of Chicago,Hospital,0,0.0,0,0.0,39,
Ancien Bicycle,Bike Shop,0,0.0,0,0.0,21,
American Eagle Outfitters Closed,Clothing Store,0,0.0,0,0.0,0,
Alfredos Bar,Bar,0,0.0,0,0.0,21,
Aji Ichiban,Candy Store,0,0.0,0,0.0,0,
Aesthetic Dermatology,Doctor's Office,0,0.0,0,0.0,0,
Ace Motorcycle And Scooter,Gas Station,0,0.0,0,0.0,2,
Aarons Apothecary,Pharmacy,0,0.0,0,0.0,0,
A New Leaf,Flower Shop,0,0.0,0,0.0,0,
A A Rayner Sons Funeral Home,Funeral Home,0,0.0,0,0.0,0,
900 North Michigan Shops,Shopping Mall,0,0.0,0,0.0,5,
47Th Street Beach,Beach,0,0.0,0,0.0,0,
400 East Fitness Spa,Gym,0,0.0,0,0.0,0,
311 South Wacker,Office,0,0.0,0,0.0,196,
31 St Lakefront,Lake,0,0.0,0,0.0,7,
10Pin Bowling Lounge,Bowling Alley,0,0.0,0,0.0,54,
1030 North Clark Street,Building,0,0.0,0,0.0,168,
